timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733919149918,833,Search Flights,200,OK,Thread Group 1-1,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,1,1,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,314,0,24
1733919149918,314,Search Flights-0,302,Found,Thread Group 1-1,text,true,,259,155,1,1,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,314,0,24
1733919150233,518,Search Flights-1,200,OK,Thread Group 1-1,text,true,,7245,155,1,1,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,491,0,100
1733919150752,690,Select Flight,200,OK,Thread Group 1-1,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,1,1,https://blazedemo.com/purchase.php,283,0,0
1733919150752,283,Select Flight-0,302,Found,Thread Group 1-1,text,true,,231,223,1,1,http://blazedemo.com/purchase.php,283,0,0
1733919151036,406,Select Flight-1,200,OK,Thread Group 1-1,text,true,,6715,127,1,1,https://blazedemo.com/purchase.php,377,0,0
1733919149918,1523,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-1,,false,,14450,660,1,1,null,597,2,24
1733919151443,713,Search Flights,200,OK,Thread Group 1-1,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,292,0,0
1733919151443,292,Search Flights-0,302,Found,Thread Group 1-1,text,true,,259,155,2,2,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,292,0,0
1733919151735,421,Search Flights-1,200,OK,Thread Group 1-1,text,true,,7245,155,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,394,0,0
1733919151915,835,Search Flights,200,OK,Thread Group 1-2,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,303,0,13
1733919151915,303,Search Flights-0,302,Found,Thread Group 1-2,text,true,,259,155,2,2,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,303,0,13
1733919152219,531,Search Flights-1,200,OK,Thread Group 1-2,text,true,,7245,155,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,504,0,100
1733919152157,737,Select Flight,200,OK,Thread Group 1-1,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,2,2,https://blazedemo.com/purchase.php,293,0,0
1733919152157,293,Select Flight-0,302,Found,Thread Group 1-1,text,true,,231,223,2,2,http://blazedemo.com/purchase.php,293,0,0
